timestamp_utc,mmsi,latitude,longitude,cog,sog,true_heading,navigational_status,wetterzustand,luftdruck,windrichtung,windstaerke,bewoelkung,lufttemperatur,wassertemperatur,niederschlag,wellenhoehe
2025-10-26 13:52:40.684487234 +0000 UTC,244528000,49.43103,0.18253,90.9,5.8,511,0,Leichter Regen,1013.7,288,28.5,100,12.0,13.4,0.0,1.06
2025-10-26 14:31:11.134787 +0000 UTC,244528000,49.4316,0.177,269.8,2,511,0,Leichter Regen,1013.8,281,33.3,100,12.1,13.4,0.0,1.06
2025-10-26 14:51:41.350862357 +0000 UTC,244528000,49.43269,0.14638,264.5,6.1,511,0,Leichter Regen,1014.0,277,43.9,100,12.5,13.5,0.3,1.16
2025-10-26 15:29:31.012194644 +0000 UTC,244528000,49.44364,0.0591,290.4,5.1,511,0,Leichter Regen,1014.0,274,44.0,98,12.4,13.8,0.0,1.4
2025-10-26 15:51:52.208751994 +0000 UTC,244528000,49.45874,0.0159,290.7,5.1,511,0,Leichter Regen,1014.0,276,44.1,96,12.4,13.8,0.1,1.4
2025-10-26 16:35:51.812828174 +0000 UTC,244528000,49.49347,0.04382,104.8,8.4,511,0,Leichter Regen,1013.4,274,40.0,100,12.5,13.8,0.0,1.4
2025-10-26 16:52:52.026305777 +0000 UTC,244528000,49.48406,0.09808,100.5,7.3,511,0,Leichter Regen,1013.3,269,30.6,100,12.1,13.4,0.0,1.26
2025-10-26 17:30:11.368076838 +0000 UTC,244528000,49.48285,0.11553,360,0,511,0,Leichter Regen,1012.7,271,32.0,100,12.1,13.4,0.0,1.26
2025-10-26 18:39:31.17195368 +0000 UTC,244528000,49.4871,0.12292,192,2.1,511,0,Leichter Regen,1012.9,269,32.4,100,12.1,13.4,0.1,1.32
2025-10-26 18:53:11.414292455 +0000 UTC,244528000,49.48092,0.136,72,0.6,511,0,Leichter Regen,1011.9,267,29.9,100,12.1,13.4,0.1,1.32
2025-10-26 19:25:11.227647903 +0000 UTC,244528000,49.48108,0.13624,360,0,511,0,Leichter Regen,1011.7,260,29.9,100,12.1,13.4,0.3,1.32
2025-10-27 10:38:51.281728637 +0000 UTC,244528000,49.48107,0.13626,360,0.1,511,5,Bedeckt,1009.0,299,37.7,92,14.6,13.4,0.0,2.1
2025-10-27 10:53:53.249617003 +0000 UTC,244528000,49.48108,0.13626,360,0,511,5,Bedeckt,1009.3,300,37.9,92,14.6,13.4,0.0,2.1
2025-10-27 14:53:51.530444389 +0000 UTC,244528000,49.48104,0.13627,360,0.1,511,5,Teilweise bewölkt,1011.3,293,34.4,44,14.4,13.5,0.0,2.0
2025-10-27 15:32:49.517989237 +0000 UTC,244528000,49.48104,0.13628,360,0,511,5,Teilweise bewölkt,1011.7,293,32.9,65,14.3,13.5,0.0,1.94
2025-10-27 22:53:50.043560183 +0000 UTC,244528000,49.48108,0.13625,360,0.1,511,5,Bedeckt,1013.1,262,32.0,100,14.4,13.4,0.0,1.38
